,date,usd_close,usd_open,usd_high,usd_low,usd_value%
0,2017-09-25,1134.8,1132.91,1137.43,1129.43,0.15
1,2017-09-26,1137.62,1134.8,1140.68,1134.66,0.25
2,2017-09-27,1145.76,1137.62,1146.06,1137.12,0.72
3,2017-09-28,1146.58,1145.75,1151.65,1142.8,0.07
4,2017-09-29,1145.3,1146.59,1147.81,1141.77,-0.1
5,2017-10-02,1146.62,1145.13,1148.56,1144.31,0.12
6,2017-10-03,1143.24,1146.61,1149.88,1141.05,-0.2
7,2017-10-04,1142.99,1143.24,1143.91,1138.35,-0.0
8,2017-10-05,1142.41,1142.99,1144.05,1137.34,-0.0
9,2017-10-06,1145.32,1142.41,1145.85,1141.38,0.25
10,2017-10-09,1143.82,1145.51,1146.11,1142.36,-0.1
11,2017-10-10,1135.31,1143.81,1144.01,1131.57,-0.7
12,2017-10-11,1132.91,1135.21,1138.5,1130.89,-0.2
13,2017-10-12,1132.89,1132.91,1137.31,1130.54,-0.0
14,2017-10-13,1126.67,1132.89,1134.6,1124.84,-0.5
15,2017-10-16,1128.28,1127.0,1130.25,1125.8,0.14
16,2017-10-17,1131.21,1128.28,1133.8,1127.86,0.26
17,2017-10-18,1132.88,1131.21,1133.91,1129.28,0.15
18,2017-10-19,1129.01,1132.87,1134.8,1128.37,-0.3
19,2017-10-20,1132.31,1129.01,1134.5,1128.45,0.29
20,2017-10-23,1130.86,1132.19,1135.7,1129.1,-0.1
21,2017-10-24,1130.93,1130.85,1131.73,1127.3,0.01
22,2017-10-25,1127.81,1130.93,1131.5,1122.81,-0.2
23,2017-10-26,1128.75,1127.81,1129.49,1121.92,0.08
24,2017-10-27,1125.97,1128.76,1132.7,1125.19,-0.2
25,2017-10-30,1124.78,1125.98,1127.6,1123.56,-0.1
26,2017-10-31,1118.42,1124.78,1125.15,1116.02,-0.5
27,2017-11-01,1111.52,1118.42,1119.9,1109.35,-0.6
28,2017-11-02,1112.35,1111.51,1115.5,1110.21,0.07
29,2017-11-03,1116.29,1112.35,1117.83,1110.9,0.35
30,2017-11-06,1112.84,1115.9,1119.81,1110.94,-0.3
31,2017-11-07,1113.93,1112.83,1116.45,1110.78,0.1
32,2017-11-08,1114.31,1113.93,1116.6,1112.08,0.03
33,2017-11-09,1118.36,1114.23,1121.23,1112.69,0.36
34,2017-11-10,1120.96,1119.12,1121.63,1115.89,0.23
35,2017-11-13,1119.89,1119.6,1122.8,1118.81,-0.1
36,2017-11-14,1115.52,1119.89,1121.51,1114.03,-0.3
37,2017-11-15,1105.69,1115.52,1117.51,1102.16,-0.8
38,2017-11-16,1097.18,1105.69,1108.2,1094.17,-0.7
39,2017-11-17,1094.32,1097.18,1100.41,1093.45,-0.2
40,2017-11-20,1097.04,1094.33,1102.31,1093.57,0.25
41,2017-11-21,1091.13,1097.04,1100.81,1087.95,-0.5
42,2017-11-22,1086.06,1091.13,1094.8,1085.16,-0.4
43,2017-11-23,1083.99,1086.07,1091.51,1083.45,-0.1
44,2017-11-24,1085.62,1083.99,1087.9,1083.46,0.15
45,2017-11-27,1091.69,1085.62,1092.26,1084.56,0.56
46,2017-11-28,1083.95,1091.69,1091.8,1078.66,-0.7
47,2017-11-29,1082.1,1083.95,1085.9,1074.71,-0.1
48,2017-11-30,1088.13,1082.1,1091.11,1080.7,0.56
49,2017-12-01,1083.47,1088.13,1089.7,1082.21,-0.4
50,2017-12-04,1086.3,1083.44,1090.9,1083.32,0.26
51,2017-12-05,1087.62,1086.29,1089.0,1082.23,0.12
52,2017-12-06,1093.99,1087.6,1097.28,1086.1,0.59
53,2017-12-07,1093.6,1093.99,1097.0,1090.63,-0.0
54,2017-12-08,1092.85,1093.6,1096.9,1091.07,-0.0
55,2017-12-11,1088.84,1092.85,1094.6,1086.14,-0.3
56,2017-12-12,1092.89,1088.84,1093.99,1087.8,0.37
57,2017-12-13,1084.56,1092.89,1095.31,1083.76,-0.7
58,2017-12-14,1089.22,1084.55,1091.13,1084.32,0.43
59,2017-12-15,1088.95,1089.22,1092.11,1086.59,-0.0
60,2017-12-18,1086.05,1088.96,1092.2,1084.55,-0.2
61,2017-12-19,1085.67,1086.07,1089.51,1082.41,-0.0
62,2017-12-20,1080.56,1085.67,1087.2,1078.42,-0.4
63,2017-12-21,1080.54,1080.56,1083.6,1078.33,-0.0
64,2017-12-22,1077.74,1080.54,1081.9,1076.15,-0.2
65,2017-12-25,1076.56,1077.72,1080.39,1073.76,-0.1
66,2017-12-26,1076.12,1076.56,1079.3,1074.34,-0.0
67,2017-12-27,1075.22,1076.12,1076.9,1072.98,-0.0
68,2017-12-28,1070.26,1075.22,1076.9,1068.15,-0.4
69,2017-12-29,1067.38,1070.26,1071.1,1063.94,-0.2
70,2018-01-01,1066.6,1067.38,1067.8,1065.61,-0.0
71,2018-01-02,1063.21,1066.6,1068.51,1059.97,-0.3
72,2018-01-03,1064.8,1062.88,1068.16,1062.48,0.15
73,2018-01-04,1062.28,1065.13,1069.31,1061.53,-0.2
74,2018-01-05,1062.09,1061.83,1064.06,1060.2,-0.0
75,2018-01-08,1068.86,1062.21,1070.7,1059.44,0.64
76,2018-01-09,1071.97,1068.87,1073.95,1065.62,0.29
77,2018-01-10,1070.14,1071.97,1073.7,1066.15,-0.1
78,2018-01-11,1065.58,1070.14,1074.2,1063.12,-0.4
79,2018-01-12,1059.99,1065.58,1067.39,1059.78,-0.5
80,2018-01-15,1063.43,1056.65,1065.5,1055.67,0.32
81,2018-01-16,1064.65,1063.43,1067.71,1062.12,0.11
82,2018-01-17,1067.36,1064.65,1070.93,1062.87,0.25
83,2018-01-18,1070.69,1067.36,1072.5,1066.97,0.31
84,2018-01-19,1067.66,1070.18,1071.26,1063.97,-0.2
85,2018-01-22,1069.4,1067.66,1071.81,1066.52,0.16
86,2018-01-23,1073.89,1069.4,1078.2,1066.9,0.42
87,2018-01-24,1064.98,1073.89,1074.0,1062.21,-0.8
88,2018-01-25,1066.06,1064.57,1067.2,1055.97,0.1
89,2018-01-26,1064.67,1066.47,1067.6,1061.0,-0.1
90,2018-01-29,1070.95,1064.5,1073.01,1062.5,0.59
91,2018-01-30,1073.23,1070.95,1075.63,1068.54,0.21
92,2018-01-31,1070.08,1073.23,1074.8,1064.99,-0.2
93,2018-02-01,1070.94,1070.12,1074.9,1068.72,0.08
94,2018-02-02,1089.95,1071.1,1090.58,1070.42,1.78
95,2018-02-05,1094.84,1089.65,1095.04,1085.45,0.45
96,2018-02-06,1080.06,1095.13,1099.4,1078.72,-1.3
97,2018-02-07,1090.24,1080.06,1090.57,1079.52,0.94
98,2018-02-08,1097.58,1090.24,1098.93,1085.58,0.67
99,2018-02-09,1085.67,1097.58,1098.4,1084.9,-1.0
100,2018-02-12,1082.6,1084.61,1087.07,1081.9,-0.2
101,2018-02-13,1085.05,1082.61,1087.57,1080.65,0.23
102,2018-02-14,1070.91,1085.06,1086.34,1070.57,-1.3
103,2018-02-15,1064.14,1070.91,1073.29,1063.05,-0.6
104,2018-02-16,1067.19,1064.04,1069.39,1061.86,0.29
105,2018-02-19,1067.41,1066.61,1070.61,1065.76,0.02
106,2018-02-20,1074.91,1067.41,1075.95,1067.33,0.7
107,2018-02-21,1076.02,1074.91,1078.11,1070.93,0.1
